row	col	xmin	ymin	xmax	ymax
7	78	2003305.08746798	2939045.57403268	2015305.08746798	2951045.57403268
7	79	2015305.08746798	2939045.57403268	2027305.08746798	2951045.57403268
7	80	2027305.08746798	2939045.57403268	2039305.08746798	2951045.57403268
7	81	2039305.08746798	2939045.57403268	2051305.08746798	2951045.57403268
7	82	2051305.08746798	2939045.57403268	2063305.08746798	2951045.57403268
7	83	2063305.08746798	2939045.57403268	2075305.08746798	2951045.57403268
7	84	2075305.08746798	2939045.57403268	2087305.08746798	2951045.57403268
7	85	2087305.08746798	2939045.57403268	2099305.08746798	2951045.57403268
7	86	2099305.08746798	2939045.57403268	2111305.08746798	2951045.57403268
7	87	2111305.08746798	2939045.57403268	2123305.08746798	2951045.57403268
7	88	2123305.08746798	2939045.57403268	2135305.08746798	2951045.57403268
7	89	2135305.08746798	2939045.57403268	2147305.08746798	2951045.57403268
8	76	1979305.08746798	2927045.57403268	1991305.08746798	2939045.57403268
8	77	1991305.08746798	2927045.57403268	2003305.08746798	2939045.57403268
8	78	2003305.08746798	2927045.57403268	2015305.08746798	2939045.57403268
8	79	2015305.08746798	2927045.57403268	2027305.08746798	2939045.57403268
8	80	2027305.08746798	2927045.57403268	2039305.08746798	2939045.57403268
8	81	2039305.08746798	2927045.57403268	2051305.08746798	2939045.57403268
8	82	2051305.08746798	2927045.57403268	2063305.08746798	2939045.57403268
8	83	2063305.08746798	2927045.57403268	2075305.08746798	2939045.57403268
8	84	2075305.08746798	2927045.57403268	2087305.08746798	2939045.57403268
8	85	2087305.08746798	2927045.57403268	2099305.08746798	2939045.57403268
8	86	2099305.08746798	2927045.57403268	2111305.08746798	2939045.57403268
8	87	2111305.08746798	2927045.57403268	2123305.08746798	2939045.57403268
8	88	2123305.08746798	2927045.57403268	2135305.08746798	2939045.57403268
8	89	2135305.08746798	2927045.57403268	2147305.08746798	2939045.57403268
9	75	1967305.08746798	2915045.57403268	1979305.08746798	2927045.57403268
9	76	1979305.08746798	2915045.57403268	1991305.08746798	2927045.57403268
9	77	1991305.08746798	2915045.57403268	2003305.08746798	2927045.57403268
9	78	2003305.08746798	2915045.57403268	2015305.08746798	2927045.57403268
9	79	2015305.08746798	2915045.57403268	2027305.08746798	2927045.57403268
9	80	2027305.08746798	2915045.57403268	2039305.08746798	2927045.57403268
